Algorithm,Problem,Exp,Indicator,Value,obj
1,1,1,1,1.9721918,3
1,1,1,2,0.14041122613377,3
1,1,1,3,0.840648070182859,3
1,1,2,1,2.0079812,3
1,1,2,2,0.137582067719575,3
1,1,2,3,0.839657855950381,3
1,1,3,1,2.0387814,3
1,1,3,2,0.139046288289589,3
1,1,3,3,0.836147034731805,3
1,1,4,1,2.0481667,3
1,1,4,2,0.13358947542045,3
1,1,4,3,0.843856247727436,3
1,1,5,1,1.999426,3
1,1,5,2,0.141489914671295,3
1,1,5,3,0.836694160027073,3
1,1,6,1,2.0142702,3
1,1,6,2,0.141993422865108,3
1,1,6,3,0.839655334058064,3
1,1,7,1,2.3270314,3
1,1,7,2,0.137831291617733,3
1,1,7,3,0.838862735655677,3
1,1,8,1,2.008744,3
1,1,8,2,0.137897703325067,3
1,1,8,3,0.840836711956672,3
1,1,9,1,1.9416718,3
1,1,9,2,0.135786528466494,3
1,1,9,3,0.840191787603317,3
1,1,10,1,1.9922427,3
1,1,10,2,0.140959763866283,3
1,1,10,3,0.83798001269868,3
1,1,11,1,2.0264335,3
1,1,11,2,0.133551695725946,3
1,1,11,3,0.842958263885873,3
1,1,12,1,1.9564795,3
1,1,12,2,0.139598109742866,3
1,1,12,3,0.839169003261411,3
1,1,13,1,1.9974216,3
1,1,13,2,0.134628675343462,3
1,1,13,3,0.842197121128839,3
1,1,14,1,1.9736248,3
1,1,14,2,0.136402789096182,3
1,1,14,3,0.842407410744052,3
1,1,15,1,1.98586,3
1,1,15,2,0.140011958102243,3
1,1,15,3,0.839079516860989,3
1,1,16,1,2.0873244,3
1,1,16,2,0.137761939675866,3
1,1,16,3,0.839131267674956,3
1,1,17,1,1.9738596,3
1,1,17,2,0.135625335810571,3
1,1,17,3,0.839223684495405,3
1,1,18,1,1.9863084,3
1,1,18,2,0.138927197249039,3
1,1,18,3,0.842897092647292,3
1,1,19,1,2.1468676,3
1,1,19,2,0.132526291720826,3
1,1,19,3,0.840096546340717,3
1,1,20,1,1.973699,3
1,1,20,2,0.137765878742474,3
1,1,20,3,0.84142404021277,3
2,1,1,1,3.8920343,3
2,1,1,2,0.117072007272071,3
2,1,1,3,0.853097546542224,3
2,1,2,1,3.9143888,3
2,1,2,2,0.117066165023409,3
2,1,2,3,0.85313023298349,3
2,1,3,1,4.064248,3
2,1,3,2,0.117121288615044,3
2,1,3,3,0.852860671916706,3
2,1,4,1,4.1169403,3
2,1,4,2,0.117076464048125,3
2,1,4,3,0.853066898140093,3
2,1,5,1,4.0588492,3
2,1,5,2,0.117103842749357,3
2,1,5,3,0.852947910822148,3
2,1,6,1,4.0831487,3
2,1,6,2,0.117079992236497,3
2,1,6,3,0.853069497355317,3
2,1,7,1,4.076055,3
2,1,7,2,0.117073252517233,3
2,1,7,3,0.853094692239408,3
2,1,8,1,4.0030667,3
2,1,8,2,0.117103752930278,3
2,1,8,3,0.852950727881897,3
2,1,9,1,4.0926439,3
2,1,9,2,0.117162504785212,3
2,1,9,3,0.852727513884685,3
2,1,10,1,4.0019855,3
2,1,10,2,0.11707520030292,3
2,1,10,3,0.853096391617591,3
2,1,11,1,4.0005934,3
2,1,11,2,0.117075361273395,3
2,1,11,3,0.853085884388831,3
2,1,12,1,3.9424333,3
2,1,12,2,0.11709715918285,3
2,1,12,3,0.852979465309031,3
2,1,13,1,4.0288515,3
2,1,13,2,0.117242846404792,3
2,1,13,3,0.85244129226386,3
2,1,14,1,4.0144025,3
2,1,14,2,0.117067870058121,3
2,1,14,3,0.853133808770765,3
2,1,15,1,4.0033931,3
2,1,15,2,0.117066270898457,3
2,1,15,3,0.853132377911669,3
2,1,16,1,4.0298788,3
2,1,16,2,0.117110143410031,3
2,1,16,3,0.852929016532142,3
2,1,17,1,3.9866801,3
2,1,17,2,0.117077668347451,3
2,1,17,3,0.853073002989921,3
2,1,18,1,3.9371688,3
2,1,18,2,0.117074979879539,3
2,1,18,3,0.85309071518724,3
2,1,19,1,4.1278058,3
2,1,19,2,0.117074132571269,3
2,1,19,3,0.853062633196401,3
2,1,20,1,3.9351003,3
2,1,20,2,0.117093697325295,3
2,1,20,3,0.852947472505182,3
3,1,1,1,30.1724803,3
3,1,1,2,0.11714752802555,3
3,1,1,3,0.852748053233786,3
3,1,2,1,29.6621561,3
3,1,2,2,0.117292916801884,3
3,1,2,3,0.852327407555766,3
3,1,3,1,29.9508569,3
3,1,3,2,0.11721645613782,3
3,1,3,3,0.85257137233213,3
3,1,4,1,29.9753074,3
3,1,4,2,0.117475021627939,3
3,1,4,3,0.851898229903212,3
3,1,5,1,29.7066344,3
3,1,5,2,0.117091528284448,3
3,1,5,3,0.853009961769276,3
3,1,6,1,29.7652571,3
3,1,6,2,0.117113520136739,3
3,1,6,3,0.852934028921992,3
3,1,7,1,30.0237139,3
3,1,7,2,0.117219828063233,3
3,1,7,3,0.852558733484319,3
3,1,8,1,29.8355114,3
3,1,8,2,0.117089480120963,3
3,1,8,3,0.853008882956915,3
3,1,9,1,29.5258444,3
3,1,9,2,0.117152167246565,3
3,1,9,3,0.852823124761876,3
3,1,10,1,29.766596,3
3,1,10,2,0.117107027379926,3
3,1,10,3,0.852970448726009,3
3,1,11,1,29.7314351,3
3,1,11,2,0.1170687012984,3
3,1,11,3,0.853112115427365,3
3,1,12,1,29.6056727,3
3,1,12,2,0.117085037707606,3
3,1,12,3,0.853045995197404,3
3,1,13,1,30.1239559,3
3,1,13,2,0.117227704983627,3
3,1,13,3,0.852486945954641,3
3,1,14,1,30.0281762,3
3,1,14,2,0.11709150254879,3
3,1,14,3,0.853026498494765,3
3,1,15,1,29.9372747,3
3,1,15,2,0.11709438672179,3
3,1,15,3,0.852990581821151,3
3,1,16,1,30.3824097,3
3,1,16,2,0.11740830949713,3
3,1,16,3,0.851995476764722,3
3,1,17,1,30.2514966,3
3,1,17,2,0.117402403757417,3
