Algorithm,Problem,Exp,obj,Indicator,value
MOEA/D,F1,1,3D,DeltaP,0.999801115528421
MOEA/D,F1,1,5D,DeltaP,0.95746478664487
MOEA/D,F1,1,7D,DeltaP,0.999359890009427
MOEA/D,F1,1,10D,DeltaP,0.99941907874036
MOEA/D,F1,1,15D,DeltaP,0.998614357055353
MOEA/D,F1,2,3D,DeltaP,0.999445725864889
MOEA/D,F1,2,5D,DeltaP,0.957285635951417
MOEA/D,F1,2,7D,DeltaP,0.99949933669456
MOEA/D,F1,2,10D,DeltaP,0.999395200029586
MOEA/D,F1,2,15D,DeltaP,0.998760025409177
MOEA/D,F1,3,3D,DeltaP,0.999632627016135
MOEA/D,F1,3,5D,DeltaP,0.956368010718304
MOEA/D,F1,3,7D,DeltaP,0.99941476988312
MOEA/D,F1,3,10D,DeltaP,0.99940671915159
MOEA/D,F1,3,15D,DeltaP,0.998746924967955
MOEA/D,F1,4,3D,DeltaP,0.999000587151359
MOEA/D,F1,4,5D,DeltaP,0.957403963627575
MOEA/D,F1,4,7D,DeltaP,0.999337668240427
MOEA/D,F1,4,10D,DeltaP,0.999435019753181
MOEA/D,F1,4,15D,DeltaP,0.99923061423901
MOEA/D,F1,5,3D,DeltaP,0.999938001811185
MOEA/D,F1,5,5D,DeltaP,0.957408307849689
MOEA/D,F1,5,7D,DeltaP,0.999388533586455
MOEA/D,F1,5,10D,DeltaP,0.999428354715286
MOEA/D,F1,5,15D,DeltaP,0.998804351987494
MOEA/D,F1,6,3D,DeltaP,0.999884244724956
MOEA/D,F1,6,5D,DeltaP,0.955990128370518
MOEA/D,F1,6,7D,DeltaP,0.999324980327903
MOEA/D,F1,6,10D,DeltaP,0.999425703738858
MOEA/D,F1,6,15D,DeltaP,0.998762741937268
MOEA/D,F1,7,3D,DeltaP,0.999624384650609
MOEA/D,F1,7,5D,DeltaP,0.957287698137488
MOEA/D,F1,7,7D,DeltaP,0.999332466615711
MOEA/D,F1,7,10D,DeltaP,0.999385526658841
MOEA/D,F1,7,15D,DeltaP,0.998835736483751
MOEA/D,F1,8,3D,DeltaP,0.999943008360866
MOEA/D,F1,8,5D,DeltaP,0.957399678468206
MOEA/D,F1,8,7D,DeltaP,0.99934495580143
MOEA/D,F1,8,10D,DeltaP,0.999400143701106
MOEA/D,F1,8,15D,DeltaP,0.998977210625899
MOEA/D,F1,9,3D,DeltaP,0.999789775373856
MOEA/D,F1,9,5D,DeltaP,0.956933157493475
MOEA/D,F1,9,7D,DeltaP,0.999479175772561
MOEA/D,F1,9,10D,DeltaP,0.999391964504422
MOEA/D,F1,9,15D,DeltaP,0.998957762350698
MOEA/D,F1,10,3D,DeltaP,0.999900115679492
MOEA/D,F1,10,5D,DeltaP,0.956875841109538
MOEA/D,F1,10,7D,DeltaP,0.999286829984919
MOEA/D,F1,10,10D,DeltaP,0.999382229952643
MOEA/D,F1,10,15D,DeltaP,0.999025574949009
MOEA/D,F1,11,3D,DeltaP,0.999993800306059
MOEA/D,F1,11,5D,DeltaP,0.957516816766798
MOEA/D,F1,11,7D,DeltaP,0.999373429987311
MOEA/D,F1,11,10D,DeltaP,0.999416491016118
MOEA/D,F1,11,15D,DeltaP,0.999056174620411
MOEA/D,F1,12,3D,DeltaP,0.999953867436979
MOEA/D,F1,12,5D,DeltaP,0.957620102074162
MOEA/D,F1,12,7D,DeltaP,0.999329761686459
MOEA/D,F1,12,10D,DeltaP,0.99941634255912
MOEA/D,F1,12,15D,DeltaP,0.999142421113256
MOEA/D,F1,13,3D,DeltaP,0.999605130233872
MOEA/D,F1,13,5D,DeltaP,0.956897077768853
MOEA/D,F1,13,7D,DeltaP,0.99941287854325
MOEA/D,F1,13,10D,DeltaP,0.999420293412635
MOEA/D,F1,13,15D,DeltaP,0.99893520961208
MOEA/D,F1,14,3D,DeltaP,0.999938064719665
MOEA/D,F1,14,5D,DeltaP,0.957129773497842
MOEA/D,F1,14,7D,DeltaP,0.999306872604286
MOEA/D,F1,14,10D,DeltaP,0.999388784734061
MOEA/D,F1,14,15D,DeltaP,0.998733400698426
MOEA/D,F1,15,3D,DeltaP,0.999931014620628
MOEA/D,F1,15,5D,DeltaP,0.957545396361468
MOEA/D,F1,15,7D,DeltaP,0.999362136220854
MOEA/D,F1,15,10D,DeltaP,0.999412546841701
MOEA/D,F1,15,15D,DeltaP,0.99921239024818
MOEA/D,F1,16,3D,DeltaP,0.999163658898157
MOEA/D,F1,16,5D,DeltaP,0.957258130846321
MOEA/D,F1,16,7D,DeltaP,0.99946651350768
MOEA/D,F1,16,10D,DeltaP,0.999406914915727
MOEA/D,F1,16,15D,DeltaP,0.998644817461305
MOEA/D,F1,17,3D,DeltaP,0.999178094942689
MOEA/D,F1,17,5D,DeltaP,0.957580939748939
MOEA/D,F1,17,7D,DeltaP,0.999127399094284
MOEA/D,F1,17,10D,DeltaP,0.999432042923801
MOEA/D,F1,17,15D,DeltaP,0.998423439271597
MOEA/D,F1,18,3D,DeltaP,0.999981147079797
MOEA/D,F1,18,5D,DeltaP,0.957542535936452
MOEA/D,F1,18,7D,DeltaP,0.999347257682589
MOEA/D,F1,18,10D,DeltaP,0.999420458459937
MOEA/D,F1,18,15D,DeltaP,0.998854481248567
MOEA/D,F1,19,3D,DeltaP,0.999971833935484
MOEA/D,F1,19,5D,DeltaP,0.957491662254712
MOEA/D,F1,19,7D,DeltaP,0.999286139649315
MOEA/D,F1,19,10D,DeltaP,0.999426237179028
MOEA/D,F1,19,15D,DeltaP,0.999054802103842
MOEA/D,F1,20,3D,DeltaP,0.999792550731321
MOEA/D,F1,20,5D,DeltaP,0.95750265965443
MOEA/D,F1,20,7D,DeltaP,0.999341190073526
MOEA/D,F1,20,10D,DeltaP,0.999418039587626
MOEA/D,F1,20,15D,DeltaP,0.998943600948101
MOEA/D,F2,1,3D,DeltaP,0.99999254051251
MOEA/D,F2,1,5D,DeltaP,0.791372822369788
MOEA/D,F2,1,7D,DeltaP,0.999683424651945
MOEA/D,F2,1,10D,DeltaP,0.999374567332253
MOEA/D,F2,1,15D,DeltaP,0.951457984680891
MOEA/D,F2,2,3D,DeltaP,0.999975483743353
MOEA/D,F2,2,5D,DeltaP,0.791394554447683
MOEA/D,F2,2,7D,DeltaP,0.999705262065925
MOEA/D,F2,2,10D,DeltaP,0.99943021491056
MOEA/D,F2,2,15D,DeltaP,0.952340897333717
MOEA/D,F2,3,3D,DeltaP,0.999964651808125
MOEA/D,F2,3,5D,DeltaP,0.791341575832471
MOEA/D,F2,3,7D,DeltaP,0.99968453949692
MOEA/D,F2,3,10D,DeltaP,0.999376085254968
MOEA/D,F2,3,15D,DeltaP,0.952574737920391
